Personality,agentType,nrPlayers,nrCrazyInvestors,nrHighRollerInvestors,nrNormalInvestors,nrSafeBetterInvestors,nrCrazyManagers,nrHighRollerManagers,nrNormalManagers,nrSafeBetterManagers,nrCompanies,nrBlueCompanies,nrGreenCompanies,nrYellowCompanies,nrRedCompanies,finalCapital,winner
HighRoller,manager,6,0,2,0,1,0,1,0,2,9,3,0,3,3,480,true
SafeBetter,investor,6,0,0,1,2,0,2,0,1,3,3,0,0,0,385,true
SafeBetter,investor,6,0,0,1,2,0,2,0,1,3,3,0,0,0,270,false
Normal,investor,6,0,0,1,2,0,2,0,1,3,3,0,0,0,15,false
SafeBetter,manager,6,0,0,1,2,0,2,0,1,3,3,0,0,0,150,false
HighRoller,manager,6,0,0,1,2,0,2,0,1,3,3,0,0,0,225,false
HighRoller,manager,6,0,0,1,2,0,2,0,1,3,3,0,0,0,375,true
SafeBetter,investor,6,1,0,0,2,0,1,2,0,5,3,0,0,2,160,false
SafeBetter,investor,6,1,0,0,2,0,1,2,0,5,3,0,0,2,275,true
Crazy,investor,6,1,0,0,2,0,1,2,0,5,3,0,0,2,120,false
Normal,manager,6,1,0,0,2,0,1,2,0,5,3,0,0,2,150,false
Normal,manager,6,1,0,0,2,0,1,2,0,5,3,0,0,2,240,false
HighRoller,manager,6,1,0,0,2,0,1,2,0,5,3,0,0,2,375,true
SafeBetter,investor,6,0,0,1,2,1,2,0,0,8,3,1,3,1,245,false
SafeBetter,investor,6,0,0,1,2,1,2,0,0,8,3,1,3,1,260,false
Normal,investor,6,0,0,1,2,1,2,0,0,8,3,1,3,1,285,true
HighRoller,manager,6,0,0,1,2,1,2,0,0,8,3,1,3,1,360,true
HighRoller,manager,6,0,0,1,2,1,2,0,0,8,3,1,3,1,360,true
Crazy,manager,6,0,0,1,2,1,2,0,0,8,3,1,3,1,360,true
Normal,investor,6,0,1,2,0,0,2,0,1,10,3,3,2,2,140,true
Normal,investor,6,0,1,2,0,0,2,0,1,10,3,3,2,2,140,true
HighRoller,investor,6,0,1,2,0,0,2,0,1,10,3,3,2,2,-5,false
HighRoller,manager,6,0,1,2,0,0,2,0,1,10,3,3,2,2,330,false
SafeBetter,manager,6,0,1,2,0,0,2,0,1,10,3,3,2,2,435,true
